Code,Location,Registered,Envelopes,Valid,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská str.sociálnì demokrat.,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Èech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných obèanù,Blok proti islam.-Obran.domova,Obèanská demokratická aliance,Èeská pirátská strana
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
590240,Želeè,436,278,278,21,0,0,15,0,17,49,3,7,2,2,0,17
